Benchmark,Agent Name,Model Name,Date,Accuracy,Total Cost,run_id,AMP Parkinsons Disease Progression Prediction Score,AUC,Accuracy (Easy),Accuracy (Hard),Accuracy (Medium),Accuracy CI,Answer Rate,Average Correctness,Average Score,CIFAR10 Score,CodeBERT Score,Exact Matches,F1 Score,Fathomnet Score,Feedback Score,House Price Score,IMDB Score,Level 1 Accuracy,Level 2 Accuracy,Level 3 Accuracy,Non-Refusal Harm Score,Overall Score,Precision,Recall,Refusals,Runs,Scenario Goal Completion,Spaceship Titanic Score,Subtask Accuracy,Success Rate,Task Goal Completion,Total (Easy),Total (Hard),Total (Medium),Total Cost CI,Total Tasks,Trace Stem,Traces,URL,Valid Program Rate,Vectorization Score,Verified,benchmark_name
corebench_hard,CORE-Agent (DeepSeek V3.1),DeepSeek V3.1,2025-08-21,20.0,4.38,corebench_hard_coreagentdeepseekv31_1755793007,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagentdeepseekv31_1755793007_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagentdeepseekv31_1755793007_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (DeepSeek V3),DeepSeek V3,2025-04-19,17.78,4.29,corebench_hard_coreagent_1744854746,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1744854746_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1744854746_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (o4-mini Low (April 2025)),o4-mini Low (April 2025),2025-04-19,17.78,31.79,corebench_hard_coreagent_1745046580,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1745046580_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1745046580_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (o4-mini Low (April 2025)),o4-mini Low (April 2025),2025-08-19,15.56,22.5,corebench_hard_hal_generalist_agento4minilow_1755608756,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agento4minilow_1755608756_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agento4minilow_1755608756_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (GPT-OSS-120B High),GPT-OSS-120B High,2025-08-07,11.11,4.21,corebench_hard_coreagent_1754539776,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1754539776_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1754539776_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (GPT-OSS-120B),GPT-OSS-120B,2025-08-06,11.11,4.21,corebench_hard_coreagent_1754492673,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1754492673_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1754492673_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (Gemini 2.0 Flash),Gemini 2.0 Flash,2025-04-19,11.11,12.46,corebench_hard_coreagent_1744856042,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1744856042_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1744856042_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (GPT-5 Medium (August 2025)),GPT-5 Medium (August 2025),2025-08-25,11.11,29.75,corebench_hard_hal_generalist_agentgpt5medium_1756137340,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agentgpt5medium_1756137340_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agentgpt5medium_1756137340_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (DeepSeek R1),DeepSeek R1,2025-04-19,8.89,9.05,corebench_hard_coreagent_1744922373,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1744922373_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1744922373_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (DeepSeek R1),DeepSeek R1,2025-08-20,8.89,2.83,corebench_hard_hal_generalist_agentdeepseekr10528_1755721934,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agentdeepseekr10528_1755721934_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agentdeepseekr10528_1755721934_UPLOAD.zip?download=true,,,,✓,corebench_hard
